window,phi,overall,stability,success_rate,latency_score
52,0.983520,0.989575,0.991307,1.000000,0.965260
53,0.986332,0.991108,0.991952,1.000000,0.971636
54,0.982897,0.989504,0.992034,1.000000,0.963453
55,0.986565,0.991114,0.991575,1.000000,0.972421
56,0.986266,0.991041,0.991829,1.000000,0.971547
57,0.981478,0.988668,0.991482,1.000000,0.960375
58,0.980970,0.988622,0.992081,1.000000,0.958947
59,0.987174,0.991603,0.992264,1.000000,0.973489
60,0.984580,0.990400,0.992375,1.000000,0.967250
61,0.980546,0.988392,0.991976,1.000000,0.958005
62,0.981520,0.988806,0.991857,1.000000,0.960314
63,0.986685,0.991372,0.992281,1.000000,0.972300
64,0.986408,0.990921,0.991151,1.000000,0.972304
65,0.980257,0.987819,0.990595,1.000000,0.957905
66,0.982332,0.989300,0.992222,1.000000,0.962056
67,0.982624,0.989148,0.991296,1.000000,0.963147
68,0.980904,0.988608,0.992132,1.000000,0.958776
69,0.983584,0.989646,0.991445,1.000000,0.965343
70,0.981421,0.988760,0.991859,1.000000,0.960084
71,0.984626,0.990104,0.991314,1.000000,0.967893
72,0.984083,0.990066,0.992051,1.000000,0.966229
73,0.980795,0.988490,0.991925,1.000000,0.958602
74,0.981906,0.989153,0.992380,1.000000,0.961003
75,0.984593,0.990250,0.991861,1.000000,0.967529
76,0.983549,0.989573,0.991255,1.000000,0.965356
77,0.986910,0.991129,0.991003,1.000000,0.973639
78,0.981878,0.988986,0.991899,1.000000,0.961132
79,0.982494,0.989335,0.992094,1.000000,0.962486
80,0.982779,0.988961,0.990429,1.000000,0.963949
81,0.983743,0.989737,0.991494,1.000000,0.965697
82,0.982113,0.988826,0.991030,1.000000,0.962069
83,0.985635,0.990247,0.990060,1.000000,0.971117
84,0.979777,0.987609,0.990643,1.000000,0.956759
85,0.983309,0.989500,0.991389,1.000000,0.964721
86,0.980076,0.988333,0.992461,1.000000,0.956743
87,0.980629,0.988401,0.991885,1.000000,0.958234
88,0.983892,0.989540,0.990585,1.000000,0.966532
89,0.980870,0.988585,0.992110,1.000000,0.958705
90,0.986164,0.990701,0.990780,1.000000,0.971944
91,0.979773,0.988011,0.991905,1.000000,0.956244
92,0.984749,0.990241,0.991581,1.000000,0.968043
93,0.981923,0.988920,0.991622,1.000000,0.961355
94,0.984984,0.990181,0.990983,1.000000,0.968938
95,0.986286,0.990844,0.991088,1.000000,0.972044
96,0.983355,0.989572,0.991557,1.000000,0.964749
97,0.983746,0.989930,0.992122,1.000000,0.965404
98,0.983856,0.989887,0.991813,1.000000,0.965807
99,0.984551,0.990366,0.992309,1.000000,0.967212
100,0.982325,0.989086,0.991551,1.000000,0.962326
101,0.983939,0.989867,0.991616,1.000000,0.966101
102,0.984044,0.989845,0.991378,1.000000,0.966469
103,0.980058,0.987865,0.991038,1.000000,0.957248
104,0.980542,0.988217,0.991436,1.000000,0.958211
105,0.981221,0.988644,0.991786,1.000000,0.959648
106,0.985210,0.990222,0.990740,1.000000,0.969633
107,0.981931,0.989072,0.992091,1.000000,0.961176
108,0.980030,0.987931,0.991289,1.000000,0.957078
109,0.983870,0.989827,0.991593,1.000000,0.965948
110,0.983852,0.989658,0.991055,1.000000,0.966180
111,0.986882,0.991236,0.991452,1.000000,0.973274
112,0.982605,0.989269,0.991719,1.000000,0.962909
113,0.983960,0.989927,0.991784,1.000000,0.966068
114,0.986465,0.990995,0.991318,1.000000,0.972338
115,0.987411,0.991648,0.992012,1.000000,0.974215
116,0.982270,0.989204,0.992011,1.000000,0.961998
117,0.980950,0.988323,0.991170,1.000000,0.959275
118,0.984686,0.990234,0.991658,1.000000,0.967854
119,0.982258,0.988866,0.990937,1.000000,0.962454
120,0.980236,0.987821,0.990633,1.000000,0.957840
121,0.986343,0.991138,0.992039,1.000000,0.971613
122,0.986059,0.990805,0.991348,1.000000,0.971329
123,0.986528,0.991408,0.992660,1.000000,0.971721
124,0.980891,0.988549,0.991968,1.000000,0.958808
125,0.981694,0.989054,0.992378,1.000000,0.960512
126,0.984081,0.990227,0.992572,1.000000,0.965989
127,0.986932,0.991342,0.991750,1.000000,0.973209
128,0.987146,0.991380,0.991504,1.000000,0.973889
129,0.987107,0.991394,0.991628,1.000000,0.973713
130,0.985824,0.990646,0.991188,1.000000,0.970855
131,0.987280,0.991607,0.992093,1.000000,0.973848
132,0.984805,0.990457,0.992213,1.000000,0.967857
133,0.987599,0.991942,0.992733,1.000000,0.974245
134,0.980105,0.988303,0.992329,1.000000,0.956857
135,0.984184,0.990265,0.992539,1.000000,0.966245
136,0.985439,0.990774,0.992269,1.000000,0.969330
137,0.984238,0.989874,0.991162,1.000000,0.967045
138,0.986472,0.991190,0.992003,1.000000,0.971944
139,0.982736,0.989095,0.990948,1.000000,0.963581
140,0.984912,0.990361,0.991725,1.000000,0.968356
141,0.980385,0.988318,0.991980,1.000000,0.957632
142,0.985669,0.990764,0.991865,1.000000,0.970091
143,0.986477,0.991124,0.991761,1.000000,0.972097
144,0.987320,0.991641,0.992147,1.000000,0.973913
145,0.981256,0.988520,0.991343,1.000000,0.959915
146,0.980245,0.988599,0.993027,1.000000,0.956942
147,0.986665,0.991124,0.991434,1.000000,0.972753
148,0.984495,0.990495,0.992812,1.000000,0.966853
149,0.982539,0.989541,0.992675,1.000000,0.962356
150,0.985425,0.991008,0.993058,1.000000,0.968923
151,0.984498,0.990121,0.991580,1.000000,0.967447
152,0.986274,0.990777,0.990861,1.000000,0.972162
153,0.979928,0.988537,0.993274,1.000000,0.956138
154,0.987415,0.991635,0.991957,1.000000,0.974260
155,0.986680,0.991333,0.992151,1.000000,0.972360
156,0.982309,0.989015,0.991346,1.000000,0.962382
157,0.985742,0.990969,0.992441,1.000000,0.969965
158,0.983180,0.989416,0.991314,1.000000,0.964451
159,0.980828,0.988317,0.991333,1.000000,0.958921
160,0.987305,0.991585,0.991971,1.000000,0.973982
161,0.985491,0.990460,0.991102,1.000000,0.970096
162,0.985117,0.990413,0.991565,1.000000,0.968933
163,0.985042,0.990333,0.991416,1.000000,0.968833
164,0.982670,0.989044,0.990881,1.000000,0.963457
165,0.987099,0.991264,0.991159,1.000000,0.974002
166,0.981311,0.988956,0.992625,1.000000,0.959531
167,0.981408,0.988590,0.991338,1.000000,0.960272
168,0.984521,0.990251,0.991976,1.000000,0.967302
169,0.984320,0.990024,0.991539,1.000000,0.967042
170,0.981366,0.988798,0.992059,1.000000,0.959875
171,0.986744,0.991205,0.991587,1.000000,0.972850
172,0.983435,0.989788,0.992135,1.000000,0.964668
173,0.985522,0.990620,0.991610,1.000000,0.969878
174,0.986074,0.990817,0.991364,1.000000,0.971355
175,0.981820,0.988675,0.990988,1.000000,0.961397
176,0.985004,0.990514,0.992090,1.000000,0.968388
177,0.983870,0.989904,0.991847,1.000000,0.965826
178,0.984737,0.990179,0.991389,1.000000,0.968118
179,0.984124,0.989920,0.991502,1.000000,0.966595
180,0.984189,0.989808,0.991017,1.000000,0.967006
181,0.982754,0.989333,0.991699,1.000000,0.963267
182,0.987322,0.991447,0.991431,1.000000,0.974372
183,0.985562,0.990736,0.991945,1.000000,0.969792
184,0.984387,0.990002,0.991356,1.000000,0.967299
185,0.981828,0.988849,0.991538,1.000000,0.961168
186,0.983317,0.989802,0.992358,1.000000,0.964296
187,0.987349,0.991832,0.992765,1.000000,0.973627
188,0.985439,0.990543,0.991481,1.000000,0.969753
189,0.981427,0.988880,0.992225,1.000000,0.959951
190,0.980043,0.987927,0.991256,1.000000,0.957122
191,0.983287,0.989567,0.991645,1.000000,0.964545
192,0.979814,0.987995,0.991799,1.000000,0.956378
193,0.985004,0.990295,0.991346,1.000000,0.968781
194,0.985141,0.990203,0.990791,1.000000,0.969432
195,0.982927,0.989374,0.991567,1.000000,0.963734
196,0.980204,0.988442,0.992613,1.000000,0.956984
197,0.980696,0.988224,0.991231,1.000000,0.958655
198,0.984899,0.990173,0.991100,1.000000,0.968666
199,0.985246,0.990487,0.991610,1.000000,0.969216
